,group,group_id,name,homepage,description,category,projectrank,show,monthly_downloads,release_count,created_at,updated_at,projectrank_placing,labels,trending,github_id,conda_id,pypi_id,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_id,maven_id,npm_url,npm_monthly_downloads,maven_url,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,go_id,go_url
0,True,eth,ETH - Ethereum,https://github.com/ethereum,Decentralized platform for applications. Applications build on it can use smart contracts - computer algorithms which..,smart-contract-platform,12,True,45703622.0,53.0,2020-08-27 02:23:15.253,2023-03-23 19:08:15.076,1.0,,,,,,,,,,,,,,,,,,,,,
1,True,btc,BTC - Bitcoin,https://github.com/bitcoin,"Cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works..",cryptocurrency,8,False,21298893.333333336,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2,True,near,NEAR - Near,https://github.com/near,"Sharded, developer-friendly, proof-of-stake public blockchain, built by a world-class team that has built some of the..",smart-contract-platform,8,False,5747071.333333334,,,,1.0,,,,,,,,,,,,,,,,,,,,,
3,True,sol,SOL - Solana,https://github.com/solana-labs,"Public blockchain. It is open-source and decentralised, and achieves consensus using a proof-of-stake algorithm..",smart-contract-platform,8,False,5826384.000000001,,,,1.0,,,,,,,,,,,,,,,,,,,,,
4,True,uni,UNI - Uniswap,https://github.com/Uniswap,"Governance token for Uniswap, an Automated Market Market DEX on the Ethereum blockchain. The UNI token allows token..",amm,8,False,3852440.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
5,True,dot,DOT - Polkadot,https://github.com/paritytech,Network protocol that allows arbitrary datanot just tokensto be transferred across blockchains. This means Polkadot is..,smart-contract-platform,7,False,3108659.3333333335,,,,1.0,,,,,,,,,,,,,,,,,,,,,
6,True,algo,ALGO - Algorand,https://github.com/algorand,"Algorand removes the technical barriers that for years undermined mainstream blockchain adoption: decentralization,..",cryptocurrency,7,False,734662.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
7,True,xlm,XLM - Stellar,https://github.com/stellar,Open platform for building financial products that connect people everywhere. Stellar blockchain enables near instant..,cryptocurrency,7,False,587553.3333333333,,,,1.0,,,,,,,,,,,,,,,,,,,,,
8,True,eos,EOS - EOS,https://github.com/eosio,Cryptocurrency token and blockchain that operates as a smart contract platform for the deployment of decentralized..,smart-contract-platform,7,False,568866.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
9,True,clny,CLNY - MarsColony,https://github.com/JoinColony,Hybrid token that contains attributes of government and utility tokens. Token holders can use this token to take part..,others,7,False,601888.0,,,,1.0,['one'],,,,,,,,,,,,,,,,,,,,
10,True,ens,ENS - Ethereum Name Service,https://github.com/ensdomains,"The Ethereum Name Service (ENS) is a distributed, open, and extensible naming system based on the Ethereum blockchain...",metaverse,7,False,954656.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
11,True,srm,SRM - Serum,https://github.com/project-serum,Worlds first completely decentralized derivatives exchange with trustless cross-chain trading.,exchange-tokens,7,False,2066738.6666666665,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
12,True,xch,XCH - Chia,https://github.com/Chia-Network,"Founded by Bram Cohen, the inventor of the BitTorrent network, Chia Network is building a better blockchain and smart..",smart-contract-platform,7,False,1255458.6666666665,,,,1.0,,,,,,,,,,,,,,,,,,,,,
13,True,xrp,XRP - XRP,https://github.com/ripple,"Ripple (XRP) is one of the fastest and most scalable digital asset, enabling real-time global payments anywhere in the..",cryptocurrency,6,False,298248.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14,True,luna,LUNA - Terra,https://github.com/terra-money,A stable foundation for the future of decentralized finance.,defi,6,False,154576.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
15,True,avax,AVAX - Avalanche,https://github.com/ava-labs,Open-source platform for launching decentralized finance applications and enterprise blockchain deployments in one..,smart-contract-platform,6,False,175762.0,,,,1.0,['avax'],,,,,,,,,,,,,,,,,,,,
16,True,matic,MATIC - Polygon,https://github.com/maticnetwork,Matic Network brings massive scale to Ethereum using an adapted version of Plasma with PoS based side chains.,smart-contract-platform,6,False,68340.0,,,,1.0,['eth'],1.0,,,,,,,,,,,,,,,,,,,
17,True,link,LINK - Chainlink,https://github.com/smartcontractkit,"The LINK Network provides smart contracts with data, bank payments and access to APIs.",web3,6,False,187210.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
18,True,atom,ATOM - Cosmos,https://github.com/cosmos,"Decentralized network of independent parallel blockchains, each powered by BFT consensus algorithms like Tendermint..",cryptocurrency,6,False,143819.33333333328,,,,1.0,,,,,,,,,,,,,,,,,,,,,
19,True,trx,TRX - TRON,https://github.com/tronprotocol,TRON: Decentralize the Web TRON is dedicated to building the infrastructure for a truly decentralized Internet. The..,smart-contract-platform,6,False,352378.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
20,True,icp,ICP - Internet Computer,https://github.com/dfinity,Worlds first blockchain that is capable of running at web speed at unrestrictive capacities. Built by the DFINITY..,smart-contract-platform,6,False,90871.33333333333,,,,1.0,,,,,,,,,,,,,,,,,,,,,
21,True,hbar,HBAR - Hedera,https://github.com/hashgraph,Decentralized public network for you to make your digital world exactly as it should be yours. Whether youre a startup..,exchange-tokens,6,False,245714.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
22,True,fil,FIL - Filecoin,https://github.com/filecoin-project,The Filecoin network achieves staggering economies of scale by allowing anyone worldwide to participate as storage..,web3,6,False,102162.00000000001,,,,1.0,,,,,,,,,,,,,,,,,,,,,
23,True,mana,MANA - Decentraland,https://github.com/decentraland,"Decentraland will be a virtual reality platform powered by the Ethereum blockchain. Users can create, experience, and..",metaverse,6,False,98132.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
24,True,ar,AR - Arweave,https://github.com/ArweaveTeam,A new data storage blockchain protocol based on a novel proof of access consensus mechanism that creates truly..,web3,6,False,412872.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
25,True,flow,FLOW - Flow,https://github.com/onflow,"Fast, decentralized, and developer-friendly blockchain, designed as the foundation for a new generation of..",metaverse,6,False,98952.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
26,True,stx,STX - Stacks,https://github.com/blockstack,New decentralized internet where users own their data and apps run locally. A browser portal is all thats needed to..,web3,6,False,312660.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
27,True,celo,CELO - Celo,https://github.com/celo-org,"A platform for fast, secure, stable digital payments to any mobile number at a fraction of todays cost.",cryptocurrency,6,False,227732.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
28,True,snx,SNX - Synthetix Network Token,https://github.com/Synthetixio,Synthetix Network Token will be a decentralised payment network where users transact directly in a price-stable..,defi,6,False,239690.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
